recovery_id,contract_id,recovery_date,recovery_amount,recovery_method,days_after_default
R00002340,C003047,2026-03-12,5424.78,Payment,30
R00002341,C003052,2025-06-09,9561.5,Payment,30
R00002342,C003052,2025-09-07,5975.94,Payment,120
R00002343,C003052,2025-11-06,5179.14,Collection,180
R00002344,C003052,2026-05-05,3983.96,Payment,360
R00002345,C003055,2026-08-09,2584.26,Payment,30
R00002346,C003057,2026-07-10,10698.69,Renegotiation,30
R00002347,C003057,2026-08-09,8915.58,Settlement,60
R00002348,C003058,2026-02-08,10071.74,Collection,90
R00002349,C003058,2026-03-10,8393.11,Payment,120
R00002350,C003058,2026-05-09,7274.03,Settlement,180
R00002351,C003063,2025-09-09,748.13,Payment,30
R00002352,C003063,2025-12-08,467.58,Settlement,120
R00002353,C003063,2026-02-06,405.24,Payment,180
R00002354,C003065,2026-08-08,1537.64,Renegotiation,120
R00002355,C003073,2026-01-08,15440.99,Collection,90
R00002356,C003073,2026-02-07,12867.49,Collection,120
R00002357,C003073,2026-04-08,11151.83,Renegotiation,180
R00002358,C003076,2025-07-10,12723.41,Renegotiation,30
R00002359,C003076,2025-08-09,10602.84,Payment,60
R00002360,C003081,2026-02-09,4510.51,Collection,30
R00002361,C003084,2026-07-10,17270.87,Payment,30
R00002362,C003084,2026-08-09,14392.39,Payment,60
R00002363,C003088,2026-05-10,993.44,Settlement,30
R00002364,C003088,2026-06-09,827.86,Collection,60
R00002365,C003088,2026-08-08,620.9,Payment,120
R00002366,C003089,2025-05-10,1459.07,Collection,30
R00002367,C003089,2025-10-07,790.33,Settlement,180
R00002368,C003091,2026-02-08,907.47,Payment,60
R00002369,C003091,2026-06-08,589.86,Renegotiation,180
R00002370,C003096,2026-04-09,546.78,Payment,120
R00002371,C003097,2026-01-09,653.47,Payment,30
R00002372,C003097,2026-02-08,544.56,Renegotiation,60
R00002373,C003097,2026-03-10,490.1,Collection,90
R00002374,C003097,2026-04-09,408.42,Payment,120
R00002375,C003099,2026-08-09,1470.65,Collection,30
R00002376,C003103,2026-08-09,316.14,Collection,30
R00002377,C003104,2026-08-09,2744.1,Collection,30
R00002378,C003107,2025-08-09,2610.81,Collection,60
R00002379,C003107,2025-10-08,1958.11,Payment,120
R00002380,C003107,2025-12-07,1697.03,Settlement,180
R00002381,C003108,2026-06-10,216.83,Payment,120
R00002382,C003110,2026-06-09,4203.76,Renegotiation,30
R00002383,C003110,2026-07-09,3503.13,Payment,60
R00002384,C003112,2026-04-09,3428.16,Settlement,120
R00002385,C003112,2026-06-08,2971.07,Payment,180
R00002386,C003113,2026-03-10,4211.14,Payment,120
R00002387,C003114,2026-07-10,1973.49,Payment,30
R00002388,C003119,2026-07-10,2826.83,Renegotiation,30
R00002389,C003119,2026-08-09,2355.69,Payment,60
R00002390,C003125,2026-05-09,985.77,Collection,60
R00002391,C003127,2025-07-10,2867.46,Renegotiation,30
R00002392,C003127,2025-08-09,2389.55,Payment,60
R00002393,C003132,2025-10-10,697.67,Collection,30
R00002394,C003132,2025-11-09,581.39,Settlement,60
R00002395,C003132,2025-12-09,523.25,Payment,90
R00002396,C003132,2026-03-09,377.9,Renegotiation,180
R00002397,C003133,2025-12-10,3832.97,Renegotiation,30
R00002398,C003133,2026-02-08,2874.73,Settlement,90
R00002399,C003133,2026-03-10,2395.61,Payment,120
R00002400,C003133,2026-05-09,2076.19,Renegotiation,180
R00002401,C003135,2026-04-09,1083.04,Collection,120
R00002402,C003135,2026-06-08,938.63,Renegotiation,180
R00002403,C003136,2026-05-09,1633.93,Collection,60
R00002404,C003136,2026-06-08,1470.54,Payment,90
R00002405,C003137,2025-09-09,6468.48,Renegotiation,30
R00002406,C003137,2026-02-06,3503.76,Collection,180
R00002407,C003138,2025-11-09,2078.38,Renegotiation,30
R00002408,C003138,2025-12-09,1731.98,Payment,60
R00002409,C003138,2026-01-08,1558.78,Settlement,90
R00002410,C003140,2025-09-08,968.34,Settlement,90
R00002411,C003140,2025-10-08,806.95,Payment,120
R00002412,C003140,2025-12-07,699.35,Collection,180
R00002413,C003140,2026-06-05,537.96,Collection,360
R00002414,C003142,2026-03-12,1372.98,Payment,30
R00002415,C003142,2026-04-11,1144.15,Settlement,60
R00002416,C003142,2026-06-10,858.11,Collection,120
R00002417,C003144,2026-06-10,409.98,Settlement,120
R00002418,C003144,2026-08-09,355.32,Collection,180
R00002419,C003145,2025-12-09,10251.15,Collection,60
R00002420,C003145,2026-01-08,9226.03,Settlement,90
R00002421,C003145,2026-02-07,7688.36,Collection,120
R00002422,C003147,2026-07-09,258.94,Payment,90
R00002423,C003147,2026-08-08,215.79,Collection,120
R00002424,C003149,2026-01-09,1207.44,Collection,60
R00002425,C003149,2026-02-08,1086.7,Payment,90
R00002426,C003154,2026-04-09,11672.11,Payment,30
R00002427,C003154,2026-07-08,7295.07,Collection,120
R00002428,C003156,2025-11-09,1739.98,Payment,30
R00002429,C003156,2026-02-07,1087.49,Collection,120
R00002430,C003156,2026-04-08,942.49,Payment,180
R00002431,C003160,2025-09-08,383.62,Payment,60
R00002432,C003160,2025-11-07,287.71,Renegotiation,120
R00002433,C003160,2026-01-06,249.35,Payment,180
R00002434,C003160,2026-07-05,191.81,Settlement,360
R00002435,C003164,2026-04-09,4510.48,Settlement,30
R00002436,C003164,2026-05-09,3758.73,Collection,60
R00002437,C003164,2026-06-08,3382.86,Collection,90
R00002438,C003171,2025-07-09,2356.58,Payment,90
R00002439,C003171,2025-08-08,1963.81,Settlement,120
R00002440,C003173,2026-05-09,495.1,Settlement,60
R00002441,C003173,2026-06-08,445.59,Payment,90
R00002442,C003175,2025-08-09,1775.8,Payment,60
R00002443,C003175,2025-12-07,1154.27,Collection,180
R00002444,C003175,2026-06-05,887.9,Payment,360
R00002445,C003180,2026-04-09,2467.68,Payment,30
R00002446,C003180,2026-05-09,2056.4,Settlement,60
R00002447,C003180,2026-07-08,1542.3,Collection,120
R00002448,C003182,2026-03-12,1291.76,Payment,30
R00002449,C003182,2026-04-11,1076.46,Payment,60
R00002450,C003182,2026-06-10,807.35,Payment,120
R00002451,C003195,2026-01-09,647.03,Renegotiation,60
R00002452,C003195,2026-03-10,485.27,Renegotiation,120
R00002453,C003195,2026-05-09,420.57,Payment,180
R00002454,C003196,2026-05-11,3198.49,Payment,90
R00002455,C003196,2026-06-10,2665.41,Renegotiation,120
R00002456,C003202,2026-08-09,2991.06,Renegotiation,30
R00002457,C003204,2026-07-10,2421.39,Collection,30
R00002458,C003205,2026-08-09,5066.27,Settlement,60
R00002459,C003208,2026-05-09,2368.66,Renegotiation,60
R00002460,C003210,2026-06-09,2552.45,Renegotiation,60
R00002461,C003217,2025-08-09,597.21,Renegotiation,60
R00002462,C003217,2025-12-07,388.19,Payment,180
R00002463,C003218,2026-03-12,1741.12,Payment,30
R00002464,C003218,2026-04-11,1450.94,Collection,60
R00002465,C003218,2026-05-11,1305.84,Payment,90
R00002466,C003222,2025-08-09,871.33,Payment,60
R00002467,C003222,2025-09-08,784.19,Collection,90
R00002468,C003223,2026-05-10,838.36,Payment,30
R00002469,C003228,2026-06-09,988.59,Payment,30
R00002470,C003230,2026-01-09,2632.79,Renegotiation,30
R00002471,C003230,2026-04-09,1645.49,Renegotiation,120
R00002472,C003230,2026-06-08,1426.09,Collection,180
R00002473,C003234,2026-05-10,9867.69,Payment,30
R00002474,C003234,2026-07-09,7400.77,Settlement,90
R00002475,C003235,2026-05-10,1303.4,Collection,30
R00002476,C003235,2026-06-09,1086.16,Collection,60
R00002477,C003235,2026-08-08,814.62,Collection,120
R00002478,C003236,2026-03-10,1431.88,Collection,90
R00002479,C003236,2026-04-09,1193.23,Collection,120
R00002480,C003238,2025-10-10,362.98,Collection,30
R00002481,C003238,2025-11-09,302.48,Payment,60
R00002482,C003238,2026-01-08,226.86,Settlement,120
R00002483,C003238,2026-03-09,196.61,Payment,180
R00002484,C003243,2026-07-10,2003.02,Payment,30
R00002485,C003246,2025-10-10,2352.89,Renegotiation,30
R00002486,C003246,2025-12-09,1764.67,Payment,90
R00002487,C003246,2026-03-09,1274.48,Renegotiation,180
R00002488,C003249,2026-04-11,1032.06,Payment,60
R00002489,C003249,2026-05-11,928.85,Settlement,90
R00002490,C003251,2026-07-09,8904.87,Payment,60
R00002491,C003254,2025-07-10,6005.5,Renegotiation,30
R00002492,C003254,2025-09-08,4504.12,Collection,90
R00002493,C003254,2026-06-05,2502.29,Payment,360
R00002494,C003257,2025-12-10,629.9,Renegotiation,30
R00002495,C003257,2026-01-09,524.92,Payment,60
R00002496,C003257,2026-05-09,341.2,Payment,180
R00002497,C003262,2026-02-08,1662.74,Collection,60
R00002498,C003262,2026-03-10,1496.47,Settlement,90
R00002499,C003262,2026-06-08,1080.78,Collection,180
R00002500,C003265,2025-12-10,2440.91,Payment,30
R00002501,C003265,2026-02-08,1830.68,Collection,90
R00002502,C003265,2026-05-09,1322.16,Collection,180
R00002503,C003266,2025-06-08,883.59,Payment,90
R00002504,C003266,2025-09-06,638.15,Payment,180
R00002505,C003266,2026-03-05,490.89,Payment,360
R00002506,C003267,2025-11-09,1006.04,Collection,30
R00002507,C003267,2025-12-09,838.37,Renegotiation,60
R00002508,C003267,2026-02-07,628.78,Renegotiation,120
R00002509,C003269,2025-06-09,2845.92,Payment,60
R00002510,C003269,2025-08-08,2134.44,Payment,120
R00002511,C003270,2025-08-09,6336.78,Payment,60
R00002512,C003270,2025-09-08,5703.1,Settlement,90
R00002513,C003270,2025-12-07,4118.91,Collection,180
R00002514,C003270,2026-06-05,3168.39,Settlement,360
R00002515,C003271,2026-02-09,1599.71,Payment,30
R00002516,C003271,2026-05-10,999.82,Renegotiation,120
R00002517,C003273,2026-06-08,487.1,Renegotiation,90
R00002518,C003273,2026-07-08,405.92,Renegotiation,120
R00002519,C003274,2026-04-10,424.22,Payment,90
R00002520,C003274,2026-07-09,306.38,Payment,180
R00002521,C003279,2025-12-09,2125.58,Settlement,60
R00002522,C003279,2026-01-08,1913.02,Renegotiation,90
R00002523,C003279,2026-02-07,1594.19,Payment,120
R00002524,C003282,2026-08-09,8504.36,Settlement,30
R00002525,C003284,2026-08-09,993.36,Payment,60
R00002526,C003285,2026-08-08,1994.43,Collection,90
R00002527,C003288,2025-07-09,10679.37,Renegotiation,60
R00002528,C003288,2025-09-07,8009.53,Payment,120
R00002529,C003288,2026-05-05,5339.68,Payment,360
R00002530,C003291,2026-02-09,4327.67,Renegotiation,30
R00002531,C003291,2026-07-09,2344.16,Payment,180
R00002532,C003294,2025-12-10,1135.11,Renegotiation,30
R00002533,C003294,2026-01-09,945.93,Payment,60
R00002534,C003298,2026-07-10,493.93,Renegotiation,30
R00002535,C003298,2026-08-09,411.61,Payment,60
R00002536,C003302,2026-03-12,16267.86,Payment,30
R00002537,C003302,2026-05-11,12200.89,Renegotiation,90
R00002538,C003302,2026-08-09,8811.75,Collection,180
R00002539,C003304,2026-07-10,2116.1,Collection,30
R00002540,C003304,2026-08-09,1763.41,Collection,60
R00002541,C003316,2025-09-08,1664.91,Settlement,60
R00002542,C003316,2025-11-07,1248.68,Collection,120
R00002543,C003317,2026-07-09,1456.1,Renegotiation,60
R00002544,C003319,2025-08-09,2628.22,Settlement,30
R00002545,C003319,2025-10-08,1971.17,Collection,90
R00002546,C003319,2025-11-07,1642.64,Payment,120
R00002547,C003320,2026-08-09,33915.1,Payment,60
R00002548,C003321,2025-11-09,7371.86,Settlement,30
R00002549,C003321,2026-01-08,5528.89,Renegotiation,90
R00002550,C003321,2026-04-08,3993.09,Payment,180
R00002551,C003322,2026-07-10,1544.35,Settlement,30
R00002552,C003333,2026-07-09,1551.66,Payment,90
R00002553,C003333,2026-08-08,1293.05,Payment,120
R00002554,C003337,2026-08-09,2809.17,Payment,30
R00002555,C003338,2026-08-09,11072.15,Renegotiation,60
R00002556,C003347,2026-07-10,3816.56,Settlement,30
R00002557,C003347,2026-08-09,3180.47,Collection,60
R00002558,C003350,2025-05-09,1272.44,Renegotiation,60
R00002559,C003350,2025-06-08,1145.19,Collection,90
R00002560,C003350,2025-07-08,954.33,Payment,120
R00002561,C003350,2026-03-05,636.22,Payment,360
R00002562,C003354,2026-07-09,967.1,Settlement,60
R00002563,C003354,2026-08-08,870.39,Collection,90
R00002564,C003359,2026-05-10,2007.54,Collection,30
R00002565,C003360,2026-07-10,2121.56,Payment,30
R00002566,C003360,2026-08-09,1767.96,Payment,60
R00002567,C003361,2026-03-12,1119.16,Payment,30
R00002568,C003361,2026-04-11,932.63,Payment,60
R00002569,C003361,2026-06-10,699.47,Payment,120
R00002570,C003364,2026-08-09,42865.76,Renegotiation,30
R00002571,C003369,2025-09-08,861.91,Collection,90
R00002572,C003369,2025-12-07,622.49,Settlement,180
R00002573,C003369,2026-06-05,478.84,Payment,360
R00002574,C003372,2026-04-11,24751.36,Renegotiation,60
R00002575,C003372,2026-05-11,22276.22,Payment,90
R00002576,C003374,2026-01-09,3778.33,Settlement,30
R00002577,C003374,2026-03-10,2833.75,Collection,90
R00002578,C003374,2026-06-08,2046.6,Payment,180
R00002579,C003375,2026-07-10,924.46,Settlement,30
R00002580,C003377,2026-08-09,2027.81,Renegotiation,60
R00002581,C003385,2026-07-08,1625.44,Payment,120
R00002582,C003386,2026-08-09,3348.54,Payment,180
R00002583,C003387,2026-04-09,1457.21,Collection,30
R00002584,C003387,2026-05-09,1214.34,Collection,60
R00002585,C003387,2026-07-08,910.75,Renegotiation,120
R00002586,C003392,2026-02-09,281.86,Renegotiation,30
R00002587,C003392,2026-04-10,211.4,Payment,90
R00002588,C003392,2026-05-10,176.16,Collection,120
R00002589,C003401,2025-11-09,1292.09,Payment,60
R00002590,C003401,2026-03-09,839.86,Payment,180
R00002591,C003404,2026-06-09,2437.29,Renegotiation,30
R00002592,C003404,2026-08-08,1827.97,Settlement,90
R00002593,C003408,2026-02-09,1121.29,Settlement,30
R00002594,C003408,2026-03-11,934.41,Renegotiation,60
R00002595,C003408,2026-07-09,607.37,Payment,180
R00002596,C003410,2025-12-10,686.4,Settlement,30
R00002597,C003410,2026-01-09,572.0,Payment,60
R00002598,C003410,2026-02-08,514.8,Payment,90
R00002599,C003410,2026-05-09,371.8,Payment,180
R00002600,C003411,2026-08-08,2933.2,Payment,90
R00002601,C003413,2025-06-09,10888.21,Payment,30
R00002602,C003413,2025-07-09,9073.51,Settlement,60
R00002603,C003413,2025-09-07,6805.13,Settlement,120
R00002604,C003414,2025-09-09,7867.34,Payment,30
R00002605,C003414,2025-10-09,6556.11,Renegotiation,60
R00002606,C003414,2025-12-08,4917.08,Payment,120
R00002607,C003414,2026-02-06,4261.47,Settlement,180
R00002608,C003416,2025-09-09,1961.62,Renegotiation,30
R00002609,C003416,2026-02-06,1062.55,Collection,180
R00002610,C003417,2025-10-10,794.52,Collection,30
R00002611,C003417,2025-11-09,662.1,Payment,60
R00002612,C003417,2025-12-09,595.89,Collection,90
R00002613,C003419,2025-12-10,1094.6,Renegotiation,30
R00002614,C003419,2026-02-08,820.95,Payment,90
R00002615,C003420,2026-05-10,27581.26,Renegotiation,30
R00002616,C003420,2026-07-09,20685.94,Collection,90
R00002617,C003423,2026-08-09,1384.26,Settlement,30
R00002618,C003432,2025-12-09,863.47,Payment,90
R00002619,C003432,2026-01-08,719.56,Payment,120
R00002620,C003432,2026-03-09,623.62,Renegotiation,180
R00002621,C003433,2026-07-10,1896.04,Settlement,30
R00002622,C003434,2026-05-11,1670.52,Settlement,90
R00002623,C003434,2026-08-09,1206.49,Collection,180
R00002624,C003436,2025-10-10,2090.73,Renegotiation,30
R00002625,C003436,2026-01-08,1306.71,Settlement,120
R00002626,C003438,2026-06-08,1668.52,Collection,90
R00002627,C003438,2026-07-08,1390.44,Renegotiation,120
R00002628,C003449,2026-04-09,2986.22,Payment,30
R00002629,C003449,2026-05-09,2488.51,Renegotiation,60
R00002630,C003449,2026-06-08,2239.66,Payment,90
R00002631,C003450,2025-11-09,1793.49,Payment,30
R00002632,C003450,2026-01-08,1345.12,Settlement,90
R00002633,C003450,2026-02-07,1120.93,Collection,120
R00002634,C003450,2026-04-08,971.48,Renegotiation,180
R00002635,C003452,2026-04-09,9366.94,Renegotiation,30
R00002636,C003452,2026-05-09,7805.78,Payment,60
R00002637,C003452,2026-06-08,7025.2,Payment,90
R00002638,C003452,2026-07-08,5854.33,Renegotiation,120
R00002639,C003455,2026-07-09,1231.6,Renegotiation,60
R00002640,C003455,2026-08-08,1108.44,Payment,90
R00002641,C003459,2026-04-09,1891.29,Payment,30
R00002642,C003462,2026-01-09,21988.48,Payment,30
R00002643,C003462,2026-02-08,18323.73,Renegotiation,60
R00002644,C003467,2026-08-09,6010.23,Renegotiation,30
R00002645,C003469,2026-08-08,4057.08,Settlement,120
R00002646,C003470,2025-10-10,1651.55,Collection,30
R00002647,C003470,2025-11-09,1376.29,Payment,60
R00002648,C003473,2026-03-10,1023.27,Payment,90
R00002649,C003473,2026-04-09,852.73,Payment,120
R00002650,C003475,2025-11-09,1448.08,Renegotiation,30
R00002651,C003475,2026-02-07,905.05,Payment,120
R00002652,C003475,2026-04-08,784.37,Payment,180
R00002653,C003482,2025-09-09,1352.16,Settlement,30
R00002654,C003482,2025-11-08,1014.12,Renegotiation,90
R00002655,C003490,2026-08-09,12876.9,Settlement,60
R00002656,C003491,2026-02-09,4417.87,Payment,30
R00002657,C003491,2026-07-09,2393.01,Payment,180
R00002658,C003492,2025-12-10,637.48,Settlement,30
R00002659,C003492,2026-03-10,398.43,Settlement,120
R00002660,C003493,2025-07-09,814.73,Payment,60
R00002661,C003493,2025-08-08,733.25,Renegotiation,90
R00002662,C003493,2025-09-07,611.04,Renegotiation,120
R00002663,C003493,2026-05-05,407.36,Collection,360
R00002664,C003499,2026-08-09,536.13,Settlement,30
R00002665,C003501,2025-05-10,369.2,Payment,30
R00002666,C003501,2025-06-09,307.67,Settlement,60
R00002667,C003501,2025-08-08,230.75,Collection,120
R00002668,C003501,2026-04-05,153.83,Collection,360
R00002669,C003502,2026-07-09,294.05,Collection,60
R00002670,C003502,2026-08-08,264.65,Renegotiation,90
R00002671,C003503,2026-02-08,4575.2,Payment,60
R00002672,C003507,2026-01-06,25973.38,Collection,180
R00002673,C003507,2026-07-05,19979.52,Payment,360
R00002674,C003508,2025-07-10,1079.42,Renegotiation,30
R00002675,C003508,2025-08-09,899.52,Renegotiation,60
R00002676,C003508,2025-10-08,674.64,Payment,120
R00002677,C003508,2026-06-05,449.76,Renegotiation,360
R00002678,C003509,2026-07-09,4578.5,Collection,60
R00002679,C003509,2026-08-08,4120.65,Payment,90
R00002680,C003515,2025-12-09,976.92,Renegotiation,60
R00002681,C003515,2026-01-08,879.22,Payment,90
R00002682,C003515,2026-02-07,732.69,Payment,120
R00002683,C003517,2026-08-09,4851.18,Payment,30
R00002684,C003519,2026-03-10,12976.98,Settlement,90
R00002685,C003519,2026-06-08,9372.26,Payment,180
R00002686,C003522,2026-05-10,2435.88,Collection,30
R00002687,C003522,2026-08-08,1522.43,Collection,120
R00002688,C003524,2026-03-11,3024.41,Payment,60
R00002689,C003524,2026-04-10,2721.97,Payment,90
R00002690,C003524,2026-05-10,2268.31,Renegotiation,120
R00002691,C003525,2026-04-09,2783.29,Settlement,30
R00002692,C003525,2026-06-08,2087.47,Payment,90
R00002693,C003526,2026-03-12,1288.99,Payment,30
R00002694,C003526,2026-06-10,805.62,Payment,120
R00002695,C003526,2026-08-09,698.21,Renegotiation,180
R00002696,C003528,2026-04-11,617.24,Payment,60
R00002697,C003528,2026-06-10,462.93,Payment,120
R00002698,C003529,2025-08-09,1959.1,Collection,30
R00002699,C003529,2026-07-05,816.29,Payment,360
R00002700,C003531,2026-08-08,433.01,Renegotiation,90
R00002701,C003536,2026-07-10,4139.25,Collection,30
R00002702,C003536,2026-08-09,3449.38,Collection,60
R00002703,C003538,2026-07-09,4533.09,Payment,60
R00002704,C003539,2026-05-09,7914.47,Payment,60
R00002705,C003539,2026-06-08,7123.03,Settlement,90
R00002706,C003539,2026-07-08,5935.86,Payment,120
R00002707,C003543,2026-07-10,544.89,Settlement,30
R00002708,C003545,2025-07-10,4046.59,Renegotiation,30
R00002709,C003545,2025-09-08,3034.94,Collection,90
R00002710,C003545,2025-10-08,2529.12,Payment,120
R00002711,C003546,2026-06-09,1184.95,Collection,60
R00002712,C003553,2026-07-10,10531.03,Collection,30
R00002713,C003556,2026-03-12,766.71,Collection,30
R00002714,C003556,2026-04-11,638.93,Payment,60
R00002715,C003556,2026-05-11,575.03,Payment,90
R00002716,C003556,2026-08-09,415.3,Payment,180
R00002717,C003559,2025-11-09,499.82,Renegotiation,30
R00002718,C003559,2026-01-08,374.87,Payment,90
R00002719,C003559,2026-02-07,312.39,Settlement,120
R00002720,C003564,2025-09-08,8180.44,Renegotiation,60
R00002721,C003564,2025-11-07,6135.33,Renegotiation,120
R00002722,C003564,2026-01-06,5317.28,Collection,180
R00002723,C003566,2025-10-10,569.27,Collection,30
R00002724,C003566,2025-11-09,474.39,Collection,60
R00002725,C003566,2025-12-09,426.96,Payment,90
R00002726,C003569,2026-04-09,1298.17,Renegotiation,30
R00002727,C003569,2026-06-08,973.63,Payment,90
R00002728,C003569,2026-07-08,811.36,Payment,120
R00002729,C003570,2026-05-09,347.89,Payment,60
R00002730,C003570,2026-07-08,260.92,Collection,120
R00002731,C003573,2026-06-09,1592.74,Settlement,60
R00002732,C003573,2026-07-09,1433.46,Settlement,90
R00002733,C003573,2026-08-08,1194.55,Settlement,120
R00002734,C003576,2026-07-10,821.73,Settlement,30
R00002735,C003576,2026-08-09,684.77,Collection,60
R00002736,C003577,2026-04-09,3981.34,Renegotiation,30
R00002737,C003577,2026-06-08,2986.0,Renegotiation,90
R00002738,C003578,2025-10-10,34759.57,Renegotiation,30
R00002739,C003582,2026-05-09,13187.99,Settlement,60
R00002740,C003582,2026-06-08,11869.19,Payment,90
R00002741,C003585,2026-01-09,2430.78,Payment,60
R00002742,C003585,2026-03-10,1823.09,Collection,120
R00002743,C003592,2026-06-09,1087.11,Payment,60
R00002744,C003594,2026-08-09,1228.35,Renegotiation,60
R00002745,C003595,2026-04-09,955.23,Renegotiation,120
R00002746,C003600,2026-01-09,103.92,Payment,30
R00002747,C003600,2026-02-08,86.6,Payment,60
R00002748,C003602,2026-07-09,2505.33,Payment,60
R00002749,C003604,2026-08-08,21073.11,Settlement,90
R00002750,C003605,2026-05-10,3360.33,Renegotiation,30
R00002751,C003606,2026-05-10,1675.36,Payment,30
R00002752,C003606,2026-07-09,1256.52,Payment,90
R00002753,C003607,2025-12-10,876.97,Payment,30
R00002754,C003607,2026-03-10,548.11,Payment,120
R00002755,C003607,2026-05-09,475.03,Payment,180
R00002756,C003608,2026-07-10,561.0,Payment,30
R00002757,C003608,2026-08-09,467.5,Payment,60
R00002758,C003609,2026-02-08,2649.42,Payment,60
R00002759,C003609,2026-06-08,1722.12,Renegotiation,180
R00002760,C003612,2026-02-08,2232.7,Payment,60
R00002761,C003612,2026-03-10,2009.43,Payment,90
R00002762,C003613,2025-07-10,4344.33,Collection,30
R00002763,C003613,2025-12-07,2353.18,Payment,180
R00002764,C003613,2026-06-05,1810.14,Collection,360
R00002765,C003616,2026-07-10,947.95,Renegotiation,30
R00002766,C003618,2026-01-09,184.51,Payment,60
R00002767,C003618,2026-02-08,166.06,Payment,90
R00002768,C003618,2026-03-10,138.39,Payment,120
R00002769,C003621,2026-04-09,2329.52,Payment,30
R00002770,C003621,2026-05-09,1941.26,Payment,60
R00002771,C003621,2026-06-08,1747.14,Payment,90
R00002772,C003622,2025-08-09,856.13,Renegotiation,30
R00002773,C003622,2025-09-08,713.44,Payment,60
R00002774,C003622,2026-01-06,463.74,Payment,180
R00002775,C003622,2026-07-05,356.72,Payment,360
R00002776,C003626,2026-01-09,2401.51,Renegotiation,30
R00002777,C003626,2026-04-09,1500.95,Collection,120
R00002778,C003628,2026-06-09,2218.26,Collection,60
R00002779,C003628,2026-08-08,1663.7,Collection,120
R00002780,C003632,2026-07-08,1184.57,Payment,120
R00002781,C003637,2025-11-09,1122.69,Payment,30
R00002782,C003637,2026-01-08,842.02,Collection,90
R00002783,C003638,2026-03-11,647.86,Renegotiation,60
R00002784,C003638,2026-04-10,583.08,Collection,90
R00002785,C003638,2026-07-09,421.11,Payment,180
R00002786,C003643,2026-04-09,5995.74,Settlement,30
R00002787,C003643,2026-05-09,4996.45,Renegotiation,60
R00002788,C003650,2025-11-09,1027.13,Collection,30
R00002789,C003650,2026-02-07,641.96,Renegotiation,120
R00002790,C003653,2025-06-09,306.12,Renegotiation,30
R00002791,C003653,2025-08-08,229.59,Payment,90
R00002792,C003653,2025-09-07,191.32,Payment,120
R00002793,C003653,2026-05-05,127.55,Settlement,360
R00002794,C003654,2026-01-09,1177.8,Payment,60
R00002795,C003654,2026-02-08,1060.02,Payment,90
R00002796,C003654,2026-03-10,883.35,Renegotiation,120
R00002797,C003655,2025-12-10,3141.81,Renegotiation,30
R00002798,C003655,2026-01-09,2618.17,Settlement,60
R00002799,C003655,2026-02-08,2356.36,Renegotiation,90
R00002800,C003655,2026-03-10,1963.63,Payment,120
R00002801,C003661,2025-10-09,1925.31,Payment,60
R00002802,C003661,2025-12-08,1443.98,Payment,120
R00002803,C003661,2026-08-05,962.65,Payment,360
R00002804,C003667,2025-12-10,3043.96,Payment,30
R00002805,C003667,2026-03-10,1902.48,Payment,120
R00002806,C003670,2026-06-09,1787.91,Payment,60
R00002807,C003670,2026-07-09,1609.12,Payment,90
R00002808,C003670,2026-08-08,1340.93,Renegotiation,120
R00002809,C003671,2025-12-10,7025.62,Payment,30
R00002810,C003671,2026-01-09,5854.69,Payment,60
R00002811,C003671,2026-02-08,5269.22,Payment,90
R00002812,C003678,2026-07-09,3841.64,Renegotiation,90
R00002813,C003679,2025-04-09,1104.33,Renegotiation,30
R00002814,C003679,2025-05-09,920.27,Payment,60
R00002815,C003679,2025-06-08,828.24,Renegotiation,90
R00002816,C003679,2025-07-08,690.2,Payment,120
R00002817,C003681,2025-11-09,1141.43,Collection,30
R00002818,C003681,2025-12-09,951.19,Payment,60
R00002819,C003683,2025-12-10,1402.41,Payment,30
R00002820,C003683,2026-03-10,876.51,Payment,120
R00002821,C003688,2026-05-10,12496.31,Payment,30
R00002822,C003688,2026-07-09,9372.23,Payment,90
R00002823,C003690,2026-08-09,1061.32,Payment,60
R00002824,C003696,2025-11-09,728.55,Settlement,30
R00002825,C003696,2026-01-08,546.42,Settlement,90
R00002826,C003696,2026-02-07,455.35,Payment,120
R00002827,C003696,2026-04-08,394.63,Payment,180
R00002828,C003697,2026-04-09,1237.53,Collection,30
R00002829,C003697,2026-05-09,1031.28,Renegotiation,60
R00002830,C003697,2026-06-08,928.15,Renegotiation,90
R00002831,C003697,2026-07-08,773.46,Payment,120
R00002832,C003701,2025-05-10,3655.99,Collection,30
R00002833,C003701,2025-07-09,2741.99,Collection,90
R00002834,C003706,2025-11-09,1227.62,Payment,30
R00002835,C003706,2025-12-09,1023.02,Payment,60
R00002836,C003706,2026-04-08,664.96,Collection,180
R00002837,C003708,2026-07-10,7108.94,Payment,30
R00002838,C003712,2025-07-10,3932.18,Settlement,30
R00002839,C003712,2025-09-08,2949.14,Payment,90
R00002840,C003716,2026-08-09,5988.57,Payment,30
R00002841,C003719,2025-12-08,792.09,Payment,120
R00002842,C003719,2026-02-06,686.48,Payment,180
R00002843,C003720,2026-06-09,923.26,Payment,60
R00002844,C003720,2026-07-09,830.93,Payment,90
R00002845,C003720,2026-08-08,692.45,Payment,120
R00002846,C003723,2025-12-09,2438.05,Settlement,60
R00002847,C003723,2026-02-07,1828.53,Collection,120
R00002848,C003727,2026-04-11,1269.57,Payment,60
